District,Taluka,Year,Cluster
Aurangabad District,Paithan,2017,0
Aurangabad District,Paithan,2018,0
Aurangabad District,Paithan,2019,0
Aurangabad District,Paithan,2020,0
Aurangabad District,Paithan,2021,1
Aurangabad District,Paithan,2022,0
Aurangabad District,Phulambri,2010,1
Aurangabad District,Phulambri,2011,1
Aurangabad District,Phulambri,2012,1
Aurangabad District,Phulambri,2013,1
Aurangabad District,Phulambri,2014,1
Aurangabad District,Phulambri,2015,1
Aurangabad District,Phulambri,2016,1
Aurangabad District,Phulambri,2017,0
Aurangabad District,Phulambri,2018,1
Aurangabad District,Phulambri,2019,1
Aurangabad District,Phulambri,2020,0
Aurangabad District,Phulambri,2021,1
Aurangabad District,Phulambri,2022,1
Aurangabad District,Phulambri,2023,0
Aurangabad District,Phulambri,2024,0
Aurangabad District,Sillod,2010,2
Aurangabad District,Sillod,2011,2
Aurangabad District,Sillod,2012,1
Aurangabad District,Sillod,2013,1
Aurangabad District,Sillod,2014,0
Aurangabad District,Sillod,2015,1
Aurangabad District,Sillod,2016,2
Aurangabad District,Sillod,2017,2
Aurangabad District,Sillod,2018,2
Aurangabad District,Sillod,2019,1
Aurangabad District,Sillod,2020,1
Aurangabad District,Sillod,2021,1
Aurangabad District,Sillod,2022,1
Aurangabad District,Soegaon,2011,0
Aurangabad District,Soegaon,2012,2
Aurangabad District,Soegaon,2013,2
Aurangabad District,Soegaon,2014,0
Aurangabad District,Soegaon,2015,1
Aurangabad District,Soegaon,2016,1
Aurangabad District,Soegaon,2017,1
Aurangabad District,Soegaon,2018,1
Aurangabad District,Soegaon,2019,1
Aurangabad District,Soegaon,2020,1
Aurangabad District,Soegaon,2021,0
Aurangabad District,Soegaon,2022,0
Aurangabad District,Vaijapur,2010,0
Aurangabad District,Vaijapur,2010,2
Aurangabad District,Vaijapur,2011,2
Aurangabad District,Vaijapur,2012,2
Aurangabad District,Vaijapur,2013,2
Aurangabad District,Vaijapur,2014,2
Aurangabad District,Vaijapur,2015,2
Aurangabad District,Vaijapur,2016,2
Aurangabad District,Vaijapur,2017,0
Aurangabad District,Vaijapur,2018,1
Aurangabad District,Vaijapur,2019,1
Aurangabad District,Vaijapur,2020,1
Aurangabad District,Vaijapur,2021,1
Aurangabad District,Vaijapur,2022,1
Aurangabad District,Vaijapur,2023,1
Beed District,Ambajogai,2010,2
Beed District,Ambajogai,2011,0
Beed District,Ambajogai,2012,2
Beed District,Ambajogai,2013,2
Beed District,Ambajogai,2014,2
Beed District,Ambajogai,2015,0
Beed District,Ambajogai,2016,1
Beed District,Ambajogai,2017,1
Beed District,Ambajogai,2018,2
Beed District,Ambajogai,2019,0
Beed District,Ambajogai,2020,1
Beed District,Ambajogai,2021,1
Beed District,Ambajogai,2022,1
Beed District,Ambajogai,2023,1
Beed District,Ambajogai,2024,1
Beed District,Ashti,2010,0
Beed District,Ashti,2011,0
Beed District,Ashti,2012,2
Beed District,Ashti,2013,2
Beed District,Ashti,2014,2
Beed District,Ashti,2015,0
Beed District,Ashti,2016,0
Beed District,Ashti,2017,1
Beed District,Ashti,2018,2
Beed District,Ashti,2019,2
Beed District,Ashti,2020,1
Beed District,Ashti,2021,1
Beed District,Ashti,2022,2
Beed District,Ashti,2023,0
Beed District,Ashti,2024,0
Beed District,Beed,2010,2
Beed District,Beed,2011,2
Beed District,Beed,2012,2
Beed District,Beed,2013,2
Beed District,Beed,2014,2
Beed District,Beed,2015,2
Beed District,Beed,2016,2
Beed District,Beed,2017,2
Beed District,Beed,2018,2
Beed District,Beed,2019,2
Beed District,Beed,2020,2
Beed District,Beed,2021,1
Beed District,Beed,2022,1
Beed District,Beed,2023,2
Beed District,Beed,2024,2
Beed District,Dharur,2010,0
Beed District,Dharur,2011,2
Beed District,Dharur,2012,1
Beed District,Dharur,2013,1
Beed District,Dharur,2014,1
Beed District,Dharur,2015,2
Beed District,Dharur,2016,2
Beed District,Dharur,2017,1
Beed District,Dharur,2018,2
Beed District,Dharur,2019,1
Beed District,Dharur,2020,0
Beed District,Dharur,2021,0
Beed District,Dharur,2022,1
Beed District,Georai,2010,2
Beed District,Georai,2011,2
Beed District,Georai,2012,2
Beed District,Georai,2013,2
Beed District,Georai,2014,2
Beed District,Georai,2015,2
Beed District,Georai,2016,2
Beed District,Georai,2017,1
Beed District,Georai,2018,2
Beed District,Georai,2019,2
Beed District,Georai,2020,0
Beed District,Georai,2021,1
Beed District,Georai,2022,0
Beed District,Georai,2023,0
Beed District,Kaij,2010,1
Beed District,Kaij,2011,1
Beed District,Kaij,2012,0
Beed District,Kaij,2013,2
Beed District,Kaij,2014,2
Beed District,Kaij,2015,1
Beed District,Kaij,2016,0
Beed District,Kaij,2017,0
Beed District,Kaij,2018,1
Beed District,Kaij,2019,2
Beed District,Kaij,2020,0
Beed District,Kaij,2021,2
Beed District,Kaij,2022,2
Beed District,Kaij,2023,2
Beed District,Kaij,2024,2
Beed District,Majalgaon,2010,0
Beed District,Majalgaon,2011,0
Beed District,Majalgaon,2012,0
Beed District,Majalgaon,2013,0
Beed District,Majalgaon,2014,0
Beed District,Majalgaon,2015,0
Beed District,Majalgaon,2016,0
Beed District,Majalgaon,2017,0
Beed District,Majalgaon,2018,0
Beed District,Majalgaon,2019,0
Beed District,Majalgaon,2020,0
Beed District,Majalgaon,2021,0
Beed District,Majalgaon,2022,0
Beed District,Majalgaon,2023,0
Beed District,Parli (Parali),2010,0
Beed District,Parli (Parali),2011,2
Beed District,Parli (Parali),2012,2
Beed District,Parli (Parali),2013,2
Beed District,Parli (Parali),2014,0
Beed District,Parli (Parali),2015,1
Beed District,Parli (Parali),2016,2
Beed District,Parli (Parali),2017,2
Beed District,Parli (Parali),2018,2
Beed District,Parli (Parali),2019,1
Beed District,Parli (Parali),2020,1
Beed District,Parli (Parali),2021,1
Beed District,Parli (Parali),2022,1
Beed District,Parli (Parali),2023,1
Beed District,Parli (Parali),2024,1
Beed District,Patoda,2010,0
Beed District,Patoda,2011,0
Beed District,Patoda,2012,0
Beed District,Patoda,2013,1
Beed District,Patoda,2014,0
Beed District,Patoda,2015,1
Beed District,Patoda,2016,1
Beed District,Patoda,2017,0
Beed District,Patoda,2018,1
Beed District,Patoda,2019,1
Beed District,Patoda,2020,0
Beed District,Patoda,2021,1
Beed District,Patoda,2022,1
Beed District,Patoda,2023,0
Beed District,Shirur Kasar,2010,1
Beed District,Shirur Kasar,2011,1
Beed District,Shirur Kasar,2012,1
Beed District,Shirur Kasar,2013,0
Beed District,Shirur Kasar,2014,0
Beed District,Shirur Kasar,2015,2
Beed District,Shirur Kasar,2016,1
Beed District,Shirur Kasar,2017,1
Beed District,Shirur Kasar,2018,2
Beed District,Shirur Kasar,2019,2
Beed District,Shirur Kasar,2020,0
Beed District,Shirur Kasar,2021,1
Beed District,Shirur Kasar,2022,1
Beed District,Wadwani,2010,2
Beed District,Wadwani,2011,2
Beed District,Wadwani,2012,2
Beed District,Wadwani,2013,2
Beed District,Wadwani,2014,0
Beed District,Wadwani,2015,2
Beed District,Wadwani,2016,2
Beed District,Wadwani,2017,2
Beed District,Wadwani,2018,2
Beed District,Wadwani,2019,2
Beed District,Wadwani,2020,0
Beed District,Wadwani,2021,0
Beed District,Wadwani,2022,2
Bhandara District,Bhandara,2010,2
Bhandara District,Bhandara,2011,1
Bhandara District,Bhandara,2012,0
Bhandara District,Bhandara,2013,0
Bhandara District,Bhandara,2014,0
Bhandara District,Bhandara,2015,2
Bhandara District,Bhandara,2016,1
Bhandara District,Bhandara,2017,0
Bhandara District,Bhandara,2018,0
Bhandara District,Bhandara,2019,0
Bhandara District,Bhandara,2020,0
Bhandara District,Bhandara,2021,0
Bhandara District,Bhandara,2022,2
Bhandara District,Bhandara,2023,2
Bhandara District,Bhandara,2024,1
Bhandara District,Lakhandur,2010,1
Bhandara District,Lakhandur,2011,0
Bhandara District,Lakhandur,2012,1
Bhandara District,Lakhandur,2013,0
Bhandara District,Lakhandur,2014,0
Bhandara District,Lakhandur,2015,1
Bhandara District,Lakhandur,2016,1
Bhandara District,Lakhandur,2017,1
Bhandara District,Lakhandur,2018,1
Bhandara District,Lakhandur,2019,0
Bhandara District,Lakhandur,2020,0
Bhandara District,Lakhandur,2021,2
Bhandara District,Lakhandur,2022,1
Bhandara District,Lakhandur,2023,0
Bhandara District,Lakhandur,2024,0
Bhandara District,Mohadi,2010,1
Bhandara District,Mohadi,2011,0
Bhandara District,Mohadi,2012,0
Bhandara District,Mohadi,2013,0
Bhandara District,Mohadi,2014,0
Bhandara District,Mohadi,2015,0
Bhandara District,Mohadi,2016,1
Bhandara District,Mohadi,2017,1
Bhandara District,Mohadi,2018,2
Bhandara District,Mohadi,2019,0
Bhandara District,Mohadi,2020,0
Bhandara District,Mohadi,2021,1
Bhandara District,Mohadi,2022,1
Bhandara District,Mohadi,2023,1
Bhandara District,Mohadi,2024,1
Bhandara District,Pauni,2010,0
Bhandara District,Pauni,2011,1
Bhandara District,Pauni,2012,0
Bhandara District,Pauni,2013,0
Bhandara District,Pauni,2014,2
Bhandara District,Pauni,2015,0
Bhandara District,Pauni,2016,2
Bhandara District,Pauni,2017,2
Bhandara District,Pauni,2018,2
Bhandara District,Pauni,2019,1
Bhandara District,Pauni,2020,0
Bhandara District,Pauni,2021,0
Bhandara District,Pauni,2022,0
Bhandara District,Pauni,2023,0
Bhandara District,Pauni,2024,1
Bhandara District,Sakoli,2010,1
Bhandara District,Sakoli,2011,2
Bhandara District,Sakoli,2012,2
Bhandara District,Sakoli,2013,2
Bhandara District,Sakoli,2014,2
Bhandara District,Sakoli,2015,2
Bhandara District,Sakoli,2016,0
Bhandara District,Sakoli,2017,2
Bhandara District,Sakoli,2018,1
Bhandara District,Sakoli,2019,0
Bhandara District,Sakoli,2020,1
Bhandara District,Sakoli,2021,0
Bhandara District,Sakoli,2022,0
Bhandara District,Sakoli,2023,0
Bhandara District,Sakoli,2024,1
Bhandara District,Tumsar,2010,0
Bhandara District,Tumsar,2011,0
Bhandara District,Tumsar,2012,0
Bhandara District,Tumsar,2013,0
Bhandara District,Tumsar,2014,1
Bhandara District,Tumsar,2015,2
Bhandara District,Tumsar,2016,2
Bhandara District,Tumsar,2017,2
Bhandara District,Tumsar,2018,2
Bhandara District,Tumsar,2019,1
Bhandara District,Tumsar,2020,0
Bhandara District,Tumsar,2021,1
Bhandara District,Tumsar,2022,1
Bhandara District,Tumsar,2023,1
Bhandara District,Tumsar,2024,1
Buldhana District,Buldhana,2010,2
Buldhana District,Buldhana,2011,2
Buldhana District,Buldhana,2012,2
Buldhana District,Buldhana,2013,2
Buldhana District,Buldhana,2014,1
Buldhana District,Buldhana,2015,1
Buldhana District,Buldhana,2016,2
Buldhana District,Buldhana,2017,1
Buldhana District,Buldhana,2018,1
Buldhana District,Buldhana,2019,1
Buldhana District,Buldhana,2020,0
Buldhana District,Buldhana,2021,2
Buldhana District,Buldhana,2022,1
Buldhana District,Buldhana,2023,0
Buldhana District,Buldhana,2024,1
Buldhana District,Chikhli,2010,1
Buldhana District,Chikhli,2011,1
Buldhana District,Chikhli,2012,1
Buldhana District,Chikhli,2013,0
Buldhana District,Chikhli,2014,1
Buldhana District,Chikhli,2015,1
Buldhana District,Chikhli,2016,1
Buldhana District,Chikhli,2017,1
Buldhana District,Chikhli,2018,1
Buldhana District,Chikhli,2019,1
Buldhana District,Chikhli,2020,0
Buldhana District,Chikhli,2021,2
Buldhana District,Chikhli,2022,1
Buldhana District,Chikhli,2023,1
Buldhana District,Chikhli,2024,1
Buldhana District,Deulgaon Raja,2010,2
Buldhana District,Deulgaon Raja,2011,2
Buldhana District,Deulgaon Raja,2012,2
Buldhana District,Deulgaon Raja,2013,2
Buldhana District,Deulgaon Raja,2014,0
Buldhana District,Deulgaon Raja,2015,2
Buldhana District,Deulgaon Raja,2016,2
Buldhana District,Deulgaon Raja,2017,2
Buldhana District,Deulgaon Raja,2018,2
Buldhana District,Deulgaon Raja,2019,2
Buldhana District,Deulgaon Raja,2020,2
Buldhana District,Deulgaon Raja,2021,2
Buldhana District,Deulgaon Raja,2022,1
Buldhana District,Deulgaon Raja,2023,1
