District,Taluka,Year,Cluster
Nagpur District,Kuhi,2017,2
Nagpur District,Kuhi,2018,0
Nagpur District,Kuhi,2019,1
Nagpur District,Kuhi,2020,1
Nagpur District,Kuhi,2021,1
Nagpur District,Kuhi,2022,1
Nagpur District,Kuhi,2023,1
Nagpur District,Kuhi,2024,0
Nagpur District,Mauda,2010,1
Nagpur District,Mauda,2011,1
Nagpur District,Mauda,2012,1
Nagpur District,Mauda,2013,2
Nagpur District,Mauda,2014,2
Nagpur District,Mauda,2015,2
Nagpur District,Mauda,2016,2
Nagpur District,Mauda,2017,1
Nagpur District,Mauda,2018,0
Nagpur District,Mauda,2019,0
Nagpur District,Mauda,2020,1
Nagpur District,Mauda,2021,1
Nagpur District,Mauda,2022,1
Nagpur District,Mauda,2023,0
Nagpur District,Mauda,2024,1
Nagpur District,Nagpur,2010,1
Nagpur District,Nagpur,2011,2
Nagpur District,Nagpur,2012,1
Nagpur District,Nagpur,2013,2
Nagpur District,Nagpur,2014,1
Nagpur District,Nagpur,2015,2
Nagpur District,Nagpur,2016,2
Nagpur District,Nagpur,2017,1
Nagpur District,Nagpur,2018,1
Nagpur District,Nagpur,2019,1
Nagpur District,Nagpur,2020,1
Nagpur District,Nagpur,2021,1
Nagpur District,Nagpur,2022,1
Nagpur District,Nagpur,2023,1
Nagpur District,Nagpur,2024,1
Nagpur District,Parseoni,2010,0
Nagpur District,Parseoni,2011,2
Nagpur District,Parseoni,2012,2
Nagpur District,Parseoni,2013,1
Nagpur District,Parseoni,2014,0
Nagpur District,Parseoni,2015,0
Nagpur District,Parseoni,2016,0
Nagpur District,Parseoni,2017,2
Nagpur District,Parseoni,2018,0
Nagpur District,Parseoni,2019,0
Nagpur District,Parseoni,2020,0
Nagpur District,Parseoni,2021,0
Nagpur District,Parseoni,2022,0
Nagpur District,Parseoni,2023,0
Nagpur District,Parseoni,2024,0
Nagpur District,Ramtek,2010,2
Nagpur District,Ramtek,2011,2
Nagpur District,Ramtek,2012,2
Nagpur District,Ramtek,2013,2
Nagpur District,Ramtek,2014,2
Nagpur District,Ramtek,2015,2
Nagpur District,Ramtek,2016,2
Nagpur District,Ramtek,2017,2
Nagpur District,Ramtek,2018,0
Nagpur District,Ramtek,2019,2
Nagpur District,Ramtek,2020,2
Nagpur District,Ramtek,2021,2
Nagpur District,Ramtek,2022,2
Nagpur District,Ramtek,2023,1
Nandurbar District,Akkalkuwa,2010,2
Nandurbar District,Akkalkuwa,2011,2
Nandurbar District,Akkalkuwa,2012,2
Nandurbar District,Akkalkuwa,2013,0
Nandurbar District,Akkalkuwa,2014,0
Nandurbar District,Akkalkuwa,2015,0
Nandurbar District,Akkalkuwa,2016,2
Nandurbar District,Akkalkuwa,2017,0
Nandurbar District,Akkalkuwa,2018,0
Nandurbar District,Akkalkuwa,2019,0
Nandurbar District,Akkalkuwa,2020,1
Nandurbar District,Akkalkuwa,2021,0
Nandurbar District,Akkalkuwa,2022,2
Nandurbar District,Akkalkuwa,2023,0
Nandurbar District,Akkalkuwa,2024,0
Nandurbar District,Akrani,2011,2
Nandurbar District,Akrani,2012,2
Nandurbar District,Akrani,2013,2
Nandurbar District,Akrani,2014,2
Nandurbar District,Akrani,2015,2
Nandurbar District,Akrani,2016,2
Nandurbar District,Akrani,2017,1
Nandurbar District,Akrani,2018,2
Nandurbar District,Akrani,2019,2
Nandurbar District,Akrani,2020,2
Nandurbar District,Akrani,2021,2
Nandurbar District,Akrani,2022,2
Nandurbar District,Akrani,2023,2
Nandurbar District,Akrani,2024,2
Nandurbar District,Navapur,2013,2
Nandurbar District,Navapur,2015,2
Nandurbar District,Navapur,2016,2
Nandurbar District,Navapur,2017,1
Nandurbar District,Navapur,2018,1
Nandurbar District,Navapur,2019,2
Nandurbar District,Navapur,2020,2
Nandurbar District,Navapur,2023,1
Nandurbar District,Navapur,2024,1
Nandurbar District,Shahada,2010,2
Nandurbar District,Shahada,2011,2
Nandurbar District,Shahada,2012,0
Nandurbar District,Shahada,2013,0
Nandurbar District,Shahada,2014,0
Nandurbar District,Shahada,2015,0
Nandurbar District,Shahada,2016,1
Nandurbar District,Shahada,2017,1
Nandurbar District,Shahada,2018,1
Nandurbar District,Shahada,2019,0
Nandurbar District,Shahada,2020,0
Nandurbar District,Shahada,2021,0
Nandurbar District,Shahada,2022,1
Nandurbar District,Shahada,2023,1
Nandurbar District,Shahada,2024,1
Nandurbar District,Taloda,2010,0
Nandurbar District,Taloda,2011,0
Nandurbar District,Taloda,2012,0
Nandurbar District,Taloda,2013,0
Nandurbar District,Taloda,2014,0
Nandurbar District,Taloda,2015,0
Nandurbar District,Taloda,2016,1
Nandurbar District,Taloda,2017,0
Nandurbar District,Taloda,2018,0
Nandurbar District,Taloda,2019,0
Nandurbar District,Taloda,2020,1
Nandurbar District,Taloda,2021,0
Nandurbar District,Taloda,2022,0
Nandurbar District,Taloda,2023,0
Nandurbar District,Taloda,2024,0
Nashik District,Baglan,2010,2
Nashik District,Baglan,2011,2
Nashik District,Baglan,2012,2
Nashik District,Baglan,2013,2
Nashik District,Baglan,2014,1
Nashik District,Baglan,2015,1
Nashik District,Baglan,2016,1
Nashik District,Baglan,2017,2
Nashik District,Baglan,2018,1
Nashik District,Baglan,2019,2
Nashik District,Baglan,2020,1
Nashik District,Baglan,2021,1
Nashik District,Baglan,2022,1
Nashik District,Baglan,2023,1
Nashik District,Baglan,2024,1
Nashik District,Chandwad,2010,2
Nashik District,Chandwad,2011,1
Nashik District,Chandwad,2012,2
Nashik District,Chandwad,2013,2
Nashik District,Chandwad,2014,2
Nashik District,Chandwad,2015,2
Nashik District,Chandwad,2016,1
Nashik District,Chandwad,2017,2
Nashik District,Chandwad,2018,1
Nashik District,Chandwad,2019,2
Nashik District,Chandwad,2020,2
Nashik District,Chandwad,2021,2
Nashik District,Chandwad,2022,2
Nashik District,Chandwad,2023,2
Nashik District,Chandwad,2024,1
Nashik District,Deola,2010,2
Nashik District,Deola,2011,2
Nashik District,Deola,2012,2
Nashik District,Deola,2013,2
Nashik District,Deola,2014,2
Nashik District,Deola,2015,2
Nashik District,Deola,2016,1
Nashik District,Deola,2017,1
Nashik District,Deola,2018,1
Nashik District,Deola,2019,1
Nashik District,Deola,2020,1
Nashik District,Deola,2021,1
Nashik District,Deola,2022,1
Nashik District,Deola,2023,1
Nashik District,Deola,2024,1
Nashik District,Dindori,2010,0
Nashik District,Dindori,2011,0
Nashik District,Dindori,2012,1
Nashik District,Dindori,2013,0
Nashik District,Dindori,2014,1
Nashik District,Dindori,2015,0
Nashik District,Dindori,2016,1
Nashik District,Dindori,2017,1
Nashik District,Dindori,2018,0
Nashik District,Dindori,2019,1
Nashik District,Dindori,2020,1
Nashik District,Dindori,2021,1
Nashik District,Dindori,2022,0
Nashik District,Dindori,2023,1
Nashik District,Dindori,2024,1
Nashik District,Igatpuri,2010,2
Nashik District,Igatpuri,2011,2
Nashik District,Igatpuri,2012,2
Nashik District,Igatpuri,2013,2
Nashik District,Igatpuri,2014,2
Nashik District,Igatpuri,2015,2
Nashik District,Igatpuri,2016,2
Nashik District,Igatpuri,2017,2
Nashik District,Igatpuri,2018,1
Nashik District,Igatpuri,2019,1
Nashik District,Igatpuri,2020,1
Nashik District,Igatpuri,2021,2
Nashik District,Igatpuri,2022,1
Nashik District,Igatpuri,2023,2
Nashik District,Igatpuri,2024,1
Nashik District,Kalwan,2010,2
Nashik District,Kalwan,2011,2
Nashik District,Kalwan,2012,2
Nashik District,Kalwan,2013,1
Nashik District,Kalwan,2014,1
Nashik District,Kalwan,2015,1
Nashik District,Kalwan,2016,0
Nashik District,Kalwan,2017,1
Nashik District,Kalwan,2018,1
Nashik District,Kalwan,2019,1
Nashik District,Kalwan,2020,1
Nashik District,Kalwan,2021,0
Nashik District,Kalwan,2022,1
Nashik District,Kalwan,2023,1
Nashik District,Kalwan,2024,1
Nashik District,Nandgaon,2010,2
Nashik District,Nandgaon,2011,2
Nashik District,Nandgaon,2012,2
Nashik District,Nandgaon,2013,2
Nashik District,Nandgaon,2014,2
Nashik District,Nandgaon,2015,2
Nashik District,Nandgaon,2016,1
Nashik District,Nandgaon,2017,2
Nashik District,Nandgaon,2018,2
Nashik District,Nandgaon,2019,2
Nashik District,Nandgaon,2020,0
Nashik District,Nandgaon,2021,0
Nashik District,Nandgaon,2022,2
Nashik District,Nandgaon,2023,2
Nashik District,Nandgaon,2024,2
Nashik District,Nashik,2010,2
Nashik District,Nashik,2011,2
Nashik District,Nashik,2012,0
Nashik District,Nashik,2013,2
Nashik District,Nashik,2014,1
Nashik District,Nashik,2015,1
Nashik District,Nashik,2016,1
Nashik District,Nashik,2017,1
Nashik District,Nashik,2018,1
Nashik District,Nashik,2019,1
Nashik District,Nashik,2020,1
Nashik District,Nashik,2021,1
Nashik District,Nashik,2022,1
Nashik District,Nashik,2023,1
Nashik District,Nashik,2024,1
Nashik District,Peth,2010,2
Nashik District,Peth,2011,2
Nashik District,Peth,2012,2
Nashik District,Peth,2013,2
Nashik District,Peth,2014,2
Nashik District,Peth,2015,2
Nashik District,Peth,2016,2
Nashik District,Peth,2017,2
Nashik District,Peth,2018,1
Nashik District,Peth,2019,1
Nashik District,Peth,2020,2
Nashik District,Peth,2021,2
Nashik District,Peth,2022,2
Nashik District,Peth,2023,2
Nashik District,Peth,2024,2
Nashik District,Sinner,2010,2
Nashik District,Sinner,2012,2
Nashik District,Sinner,2013,2
Nashik District,Sinner,2014,2
Nashik District,Sinner,2015,2
Nashik District,Sinner,2016,2
Nashik District,Sinner,2017,2
Nashik District,Sinner,2018,2
Nashik District,Sinner,2019,2
Nashik District,Sinner,2020,1
Nashik District,Sinner,2021,1
Nashik District,Sinner,2022,1
Nashik District,Sinner,2023,1
Nashik District,Sinner,2024,1
Pune District,Ambegoan,2010,0
Pune District,Ambegoan,2011,1
Pune District,Ambegoan,2012,2
Pune District,Ambegoan,2013,2
Pune District,Ambegoan,2014,1
Pune District,Ambegoan,2015,1
Pune District,Ambegoan,2016,2
Pune District,Ambegoan,2017,1
Pune District,Ambegoan,2018,1
Pune District,Ambegoan,2019,1
Pune District,Ambegoan,2020,1
Pune District,Ambegoan,2021,1
Pune District,Ambegoan,2022,1
Pune District,Ambegoan,2023,1
Pune District,Ambegoan,2024,1
Pune District,Baramati,2010,1
Pune District,Baramati,2011,1
Pune District,Baramati,2012,2
Pune District,Baramati,2013,2
Pune District,Baramati,2014,2
Pune District,Baramati,2015,2
Pune District,Baramati,2016,2
Pune District,Baramati,2017,2
Pune District,Baramati,2018,2
Pune District,Baramati,2019,2
Pune District,Baramati,2020,2
Pune District,Baramati,2021,1
Pune District,Baramati,2022,1
Pune District,Baramati,2023,1
Pune District,Baramati,2024,2
Pune District,Bhor,2010,0
Pune District,Bhor,2011,0
Pune District,Bhor,2012,0
Pune District,Bhor,2013,1
Pune District,Bhor,2014,2
Pune District,Bhor,2015,1
Pune District,Bhor,2016,1
Pune District,Bhor,2017,1
Pune District,Bhor,2018,0
Pune District,Bhor,2019,2
Pune District,Bhor,2020,1
Pune District,Bhor,2021,1
Pune District,Bhor,2022,0
Pune District,Bhor,2023,1
Pune District,Bhor,2024,1
Pune District,Haveli,2017,1
Pune District,Haveli,2018,2
Pune District,Haveli,2019,1
Pune District,Haveli,2020,1
Pune District,Haveli,2021,1
Pune District,Haveli,2022,1
Pune District,Haveli,2023,1
Pune District,Haveli,2024,1
Pune District,Indapur,2010,2
Pune District,Indapur,2011,2
Pune District,Indapur,2012,2
Pune District,Indapur,2013,2
Pune District,Indapur,2014,2
Pune District,Indapur,2015,0
Pune District,Indapur,2016,1
Pune District,Indapur,2017,2
Pune District,Indapur,2018,1
Pune District,Indapur,2019,1
Pune District,Indapur,2020,1
Pune District,Indapur,2021,1
Pune District,Indapur,2022,1
Pune District,Indapur,2023,0
Pune District,Indapur,2024,1
Pune District,Junnar,2010,0
Pune District,Junnar,2011,0
Pune District,Junnar,2012,0
Pune District,Junnar,2013,2
Pune District,Junnar,2014,0
Pune District,Junnar,2015,1
Pune District,Junnar,2016,0
Pune District,Junnar,2017,2
Pune District,Junnar,2018,2
Pune District,Junnar,2019,1
Pune District,Junnar,2020,1
Pune District,Junnar,2021,1
Pune District,Junnar,2022,1
Pune District,Junnar,2023,1
Pune District,Junnar,2024,1
Pune District,Maval,2010,0
Pune District,Maval,2011,0
Pune District,Maval,2012,0
Pune District,Maval,2013,0
Pune District,Maval,2014,0
Pune District,Maval,2015,2
Pune District,Maval,2016,2
Pune District,Maval,2017,1
Pune District,Maval,2018,2
Pune District,Maval,2019,1
Pune District,Maval,2020,1
Pune District,Maval,2021,1
Pune District,Maval,2022,1
Pune District,Maval,2023,1
Pune District,Maval,2024,2
Pune District,Punecity,2011,1
Pune District,Punecity,2012,1
Pune District,Punecity,2013,1
Pune District,Punecity,2014,1
Pune District,Punecity,2015,1
Pune District,Punecity,2016,2
Pune District,Punecity,2017,1
Pune District,Punecity,2018,1
Pune District,Punecity,2019,1
Pune District,Punecity,2020,1
Pune District,Punecity,2021,1
Pune District,Punecity,2022,1
Pune District,Punecity,2023,1
Pune District,Punecity,2024,1
Pune District,Punecity,2010,1
Pune District,Purandar,2011,1
Pune District,Purandar,2013,2
Pune District,Purandar,2014,1
Pune District,Purandar,2015,1
Pune District,Purandar,2016,1
Pune District,Purandar,2017,0
Pune District,Purandar,2018,1
Pune District,Purandar,2019,1
Pune District,Purandar,2020,1
Pune District,Purandar,2021,1
Pune District,Purandar,2022,1
Pune District,Purandar,2023,1
Pune District,Purandar,2024,1
Pune District,Shirur,2010,2
Pune District,Shirur,2011,2
Pune District,Shirur,2012,0
Pune District,Shirur,2013,0
Pune District,Shirur,2014,2
Pune District,Shirur,2015,2
Pune District,Shirur,2016,2
Pune District,Shirur,2017,2
Pune District,Shirur,2018,1
Pune District,Shirur,2019,1
Pune District,Shirur,2020,1
Pune District,Shirur,2021,1
Pune District,Shirur,2022,1
Pune District,Shirur,2023,1
Pune District,Shirur,2024,1
Pune District,Velhe,2017,1
Pune District,Velhe,2018,1
Pune District,Velhe,2019,1
Pune District,Velhe,2020,1
Pune District,Velhe,2021,1
Pune District,Velhe,2022,1
Pune District,Velhe,2023,2
Pune District,Velhe,2024,2
Raigad District,Alibag,2010,0
Raigad District,Alibag,2011,0
Raigad District,Alibag,2012,0
Raigad District,Alibag,2013,1
Raigad District,Alibag,2014,1
Raigad District,Alibag,2015,0
Raigad District,Alibag,2016,1
Raigad District,Alibag,2017,0
Raigad District,Alibag,2018,1
Raigad District,Alibag,2019,0
Raigad District,Alibag,2020,1
Raigad District,Alibag,2021,0
Raigad District,Alibag,2022,0
Raigad District,Alibag,2023,0
Raigad District,Alibag,2024,0
Raigad District,Khalapur,2010,2
Raigad District,Khalapur,2011,2
Raigad District,Khalapur,2012,0
Raigad District,Khalapur,2013,2
Raigad District,Khalapur,2014,2
Raigad District,Khalapur,2015,2
Raigad District,Khalapur,2016,2
Raigad District,Khalapur,2017,2
Raigad District,Khalapur,2018,1
Raigad District,Khalapur,2019,1
Raigad District,Khalapur,2020,1
Raigad District,Khalapur,2021,1
Raigad District,Khalapur,2022,1
Raigad District,Khalapur,2023,1
Raigad District,Khalapur,2024,1
Raigad District,Panvel,2010,0
Raigad District,Panvel,2011,1
Raigad District,Panvel,2012,1
Raigad District,Panvel,2013,0
Raigad District,Panvel,2014,2
Raigad District,Panvel,2015,1
Raigad District,Panvel,2016,1
Raigad District,Panvel,2017,1
Raigad District,Panvel,2018,1
Raigad District,Panvel,2019,1
Raigad District,Panvel,2020,1
Raigad District,Panvel,2021,1
Raigad District,Panvel,2022,1
Raigad District,Panvel,2023,1
Raigad District,Panvel,2024,1
Raigad District,Pen,2010,0
Raigad District,Pen,2011,1
Raigad District,Pen,2012,0
Raigad District,Pen,2013,0
Raigad District,Pen,2014,1
Raigad District,Pen,2015,1
Raigad District,Pen,2016,1
Raigad District,Pen,2017,1
Raigad District,Pen,2018,1
Raigad District,Pen,2019,1
Raigad District,Pen,2020,1
Raigad District,Pen,2021,0
Raigad District,Pen,2022,1
Raigad District,Pen,2023,1
Raigad District,Pen,2024,1
Raigad District,Roha,2010,0
Raigad District,Roha,2011,0
Raigad District,Roha,2012,0
Raigad District,Roha,2013,0
Raigad District,Roha,2014,1
Raigad District,Roha,2015,1
Raigad District,Roha,2016,2
Raigad District,Roha,2017,1
Raigad District,Roha,2018,2
Raigad District,Roha,2019,1
Raigad District,Roha,2020,1
Raigad District,Roha,2021,0
Raigad District,Roha,2022,1
Raigad District,Roha,2023,0
Raigad District,Roha,2024,0
Raigad District,Shrivardhan,2010,0
Raigad District,Shrivardhan,2011,0
Raigad District,Shrivardhan,2012,0
Raigad District,Shrivardhan,2013,0
Raigad District,Shrivardhan,2014,2
Raigad District,Shrivardhan,2015,1
Raigad District,Shrivardhan,2016,0
Raigad District,Shrivardhan,2017,0
Raigad District,Shrivardhan,2018,0
Raigad District,Shrivardhan,2019,1
Raigad District,Shrivardhan,2020,1
Raigad District,Shrivardhan,2021,0
Raigad District,Shrivardhan,2022,0
Raigad District,Shrivardhan,2023,0
Raigad District,Shrivardhan,2024,0
Raigad District,Uran,2010,0
Raigad District,Uran,2011,0
Raigad District,Uran,2012,1
Raigad District,Uran,2013,0
Raigad District,Uran,2014,0
Raigad District,Uran,2015,0
Raigad District,Uran,2016,0
Raigad District,Uran,2017,1
Raigad District,Uran,2018,0
Raigad District,Uran,2019,0
Raigad District,Uran,2020,0
Raigad District,Uran,2021,0
Raigad District,Uran,2022,0
Raigad District,Uran,2023,0
Raigad District,Uran,2024,0
Sangli District,Kavathemahankal,2010,2
Sangli District,Kavathemahankal,2011,2
Sangli District,Kavathemahankal,2012,2
Sangli District,Kavathemahankal,2013,2
Sangli District,Kavathemahankal,2014,2
Sangli District,Kavathemahankal,2015,2
Sangli District,Kavathemahankal,2016,2
Sangli District,Kavathemahankal,2017,2
Sangli District,Kavathemahankal,2018,2
Sangli District,Kavathemahankal,2019,2
Sangli District,Kavathemahankal,2020,0
Sangli District,Kavathemahankal,2021,0
Sangli District,Kavathemahankal,2022,0
Sangli District,Kavathemahankal,2023,0
Sangli District,Kavathemahankal,2024,2
Sangli District,Kolhapur,2010,0
Sangli District,Kolhapur,2011,2
Sangli District,Kolhapur,2012,2
Sangli District,Kolhapur,2013,2
Sangli District,Kolhapur,2014,2
Sangli District,Kolhapur,2015,2
Sangli District,Kolhapur,2016,2
Sangli District,Kolhapur,2017,2
Sangli District,Kolhapur,2018,2
Sangli District,Kolhapur,2019,2
Sangli District,Kolhapur,2020,0
Sangli District,Kolhapur,2021,0
Sangli District,Kolhapur,2022,0
Sangli District,Kolhapur,2023,2
Sangli District,Kolhapur,2024,2
Sangli District,Miraj,2010,0
Sangli District,Miraj,2011,2
Sangli District,Miraj,2012,2
Sangli District,Miraj,2013,0
Sangli District,Miraj,2014,1
Sangli District,Miraj,2015,1
Sangli District,Miraj,2016,1
Sangli District,Miraj,2017,0
Sangli District,Miraj,2018,1
Sangli District,Miraj,2019,1
Sangli District,Miraj,2020,1
Sangli District,Miraj,2021,1
Sangli District,Miraj,2022,1
Sangli District,Miraj,2023,1
Sangli District,Miraj,2024,1
Sangli District,Sangli,2010,0
Sangli District,Sangli,2011,2
Sangli District,Sangli,2012,2
Sangli District,Sangli,2013,2
Sangli District,Sangli,2014,2
Sangli District,Sangli,2015,2
Sangli District,Sangli,2016,1
Sangli District,Sangli,2017,2
Sangli District,Sangli,2018,1
Sangli District,Sangli,2019,1
Sangli District,Sangli,2020,1
Sangli District,Sangli,2021,1
Sangli District,Sangli,2022,1
Sangli District,Sangli,2023,1
Sangli District,Sangli,2024,1
Sangli District,Shirala,2010,0
Sangli District,Shirala,2011,2
Sangli District,Shirala,2012,1
Sangli District,Shirala,2013,1
Sangli District,Shirala,2014,1
Sangli District,Shirala,2015,1
Sangli District,Shirala,2016,1
Sangli District,Shirala,2017,2
Sangli District,Shirala,2018,1
Sangli District,Shirala,2019,1
Sangli District,Shirala,2020,1
Sangli District,Shirala,2021,0
Sangli District,Shirala,2022,1
Sangli District,Shirala,2023,1
Sangli District,Shirala,2024,0
Sangli District,Walwa,2010,0
Sangli District,Walwa,2011,0
Sangli District,Walwa,2012,0
Sangli District,Walwa,2013,0
Sangli District,Walwa,2014,1
Sangli District,Walwa,2015,0
Sangli District,Walwa,2016,0
Sangli District,Walwa,2017,1
Sangli District,Walwa,2018,0
Sangli District,Walwa,2019,1
Sangli District,Walwa,2020,0
Sangli District,Walwa,2021,0
Sangli District,Walwa,2022,0
Sangli District,Walwa,2023,0
Sangli District,Walwa,2024,0
Satara District,Khandala,2010,0
Satara District,Khandala,2011,0
Satara District,Khandala,2012,2
Satara District,Khandala,2013,2
Satara District,Khandala,2014,2
Satara District,Khandala,2015,2
Satara District,Khandala,2016,2
Satara District,Khandala,2017,2
Satara District,Khandala,2018,0
Satara District,Khandala,2019,1
Satara District,Khandala,2020,0
Satara District,Khandala,2021,1
Satara District,Khandala,2022,1
Satara District,Khandala,2023,1
Satara District,Khandala,2024,1
Satara District,Khatav,2010,2
Satara District,Khatav,2011,2
Satara District,Khatav,2012,2
Satara District,Khatav,2013,2
Satara District,Khatav,2014,0
Satara District,Khatav,2015,0
Satara District,Khatav,2016,0
Satara District,Khatav,2017,2
Satara District,Khatav,2018,1
Satara District,Khatav,2019,2
Satara District,Khatav,2020,2
Satara District,Khatav,2021,1
Satara District,Khatav,2022,1
Satara District,Khatav,2023,1
Satara District,Khatav,2024,1
Satara District,Koregoan,2010,0
Satara District,Koregoan,2011,1
Satara District,Koregoan,2012,0
Satara District,Koregoan,2013,0
Satara District,Koregoan,2014,0
Satara District,Koregoan,2015,0
Satara District,Koregoan,2016,1
Satara District,Koregoan,2017,0
Satara District,Koregoan,2018,1
Satara District,Koregoan,2019,1
Satara District,Koregoan,2020,1
Satara District,Koregoan,2021,1
Satara District,Koregoan,2022,1
Satara District,Koregoan,2023,1
Satara District,Koregoan,2024,1
Satara District,Mahabaleshwar,2010,0
Satara District,Mahabaleshwar,2011,0
Satara District,Mahabaleshwar,2012,1
Satara District,Mahabaleshwar,2013,0
Satara District,Mahabaleshwar,2014,0
Satara District,Mahabaleshwar,2015,0
Satara District,Mahabaleshwar,2016,1
Satara District,Mahabaleshwar,2017,0
Satara District,Mahabaleshwar,2018,0
Satara District,Mahabaleshwar,2019,0
Satara District,Mahabaleshwar,2020,0
Satara District,Mahabaleshwar,2021,0
Satara District,Mahabaleshwar,2022,0
Satara District,Mahabaleshwar,2023,0
Satara District,Mahabaleshwar,2024,0
Satara District,Man,2010,0
Satara District,Man,2011,0
Satara District,Man,2012,2
Satara District,Man,2013,2
Satara District,Man,2014,2
Satara District,Man,2015,2
Satara District,Man,2016,2
Satara District,Man,2017,2
Satara District,Man,2018,2
Satara District,Man,2019,2
Satara District,Man,2020,2
Satara District,Man,2021,2
Satara District,Man,2022,1
Satara District,Man,2023,1
Satara District,Man,2024,1
Satara District,Patan,2010,2
Satara District,Patan,2011,2
Satara District,Patan,2012,2
Satara District,Patan,2013,1
Satara District,Patan,2014,2
Satara District,Patan,2015,2
Satara District,Patan,2016,2
Satara District,Patan,2017,1
Satara District,Patan,2018,0
Satara District,Patan,2019,1
Satara District,Patan,2020,0
Satara District,Patan,2021,1
Satara District,Patan,2022,1
Satara District,Patan,2023,1
Satara District,Patan,2024,0
Satara District,Phaltan,2010,0
Satara District,Phaltan,2011,0
Satara District,Phaltan,2012,0
Satara District,Phaltan,2013,2
Satara District,Phaltan,2014,0
Satara District,Phaltan,2015,0
Satara District,Phaltan,2016,1
Satara District,Phaltan,2017,1
Satara District,Phaltan,2018,1
Satara District,Phaltan,2019,1
Satara District,Phaltan,2020,1
Satara District,Phaltan,2021,1
Satara District,Phaltan,2022,1
Satara District,Phaltan,2023,1
Satara District,Phaltan,2024,1
Satara District,Satara,2010,2
Satara District,Satara,2011,2
Satara District,Satara,2012,2
Satara District,Satara,2013,2
Satara District,Satara,2014,2
Satara District,Satara,2015,2
Satara District,Satara,2016,1
Satara District,Satara,2017,2
Satara District,Satara,2018,1
Satara District,Satara,2019,1
Satara District,Satara,2020,1
Satara District,Satara,2021,1
Satara District,Satara,2022,1
Satara District,Satara,2023,1
Satara District,Satara,2024,1
Satara District,Wai,2010,0
Satara District,Wai,2011,0
Satara District,Wai,2012,0
Satara District,Wai,2013,1
Satara District,Wai,2014,0
Satara District,Wai,2015,1
Satara District,Wai,2016,1
Satara District,Wai,2017,1
Satara District,Wai,2018,0
Satara District,Wai,2019,1
Satara District,Wai,2020,0
Satara District,Wai,2021,0
Satara District,Wai,2022,0
Satara District,Wai,2023,1
Satara District,Wai,2024,1
Solapur District,Malshiras,2010,0
Solapur District,Malshiras,2011,0
Solapur District,Malshiras,2012,1
Solapur District,Malshiras,2013,1
Solapur District,Malshiras,2014,0
Solapur District,Malshiras,2015,0
Solapur District,Malshiras,2016,0
Solapur District,Malshiras,2017,1
Solapur District,Malshiras,2018,1
Solapur District,Malshiras,2019,1
Solapur District,Malshiras,2020,1
Solapur District,Malshiras,2021,1
Solapur District,Malshiras,2022,1
Solapur District,Malshiras,2023,1
Solapur District,Malshiras,2024,0
Solapur District,Mangalwedha,2010,1
Solapur District,Mangalwedha,2011,1
Solapur District,Mangalwedha,2012,2
Solapur District,Mangalwedha,2013,2
Solapur District,Mangalwedha,2014,1
Solapur District,Mangalwedha,2015,1
Solapur District,Mangalwedha,2016,1
Solapur District,Mangalwedha,2017,1
Solapur District,Mangalwedha,2018,1
Solapur District,Mangalwedha,2019,1
Solapur District,Mangalwedha,2020,1
Solapur District,Mangalwedha,2021,1
Solapur District,Mangalwedha,2022,1
Solapur District,Mangalwedha,2023,0
Solapur District,Mangalwedha,2024,0
Solapur District,Mohol,2010,2
Solapur District,Mohol,2011,2
Solapur District,Mohol,2012,1
Solapur District,Mohol,2013,1
Solapur District,Mohol,2014,1
Solapur District,Mohol,2015,1
Solapur District,Mohol,2016,1
Solapur District,Mohol,2017,1
Solapur District,Mohol,2018,2
Solapur District,Mohol,2019,1
Solapur District,Mohol,2020,1
Solapur District,Mohol,2021,2
Solapur District,Mohol,2022,2
Solapur District,Mohol,2023,0
Solapur District,Mohol,2024,0
Solapur District,Pandharpur,2010,0
Solapur District,Pandharpur,2011,0
Solapur District,Pandharpur,2012,0
Solapur District,Pandharpur,2013,0
Solapur District,Pandharpur,2014,0
Solapur District,Pandharpur,2015,0
Solapur District,Pandharpur,2016,1
Solapur District,Pandharpur,2017,1
Solapur District,Pandharpur,2018,1
Solapur District,Pandharpur,2019,1
Solapur District,Pandharpur,2020,1
Solapur District,Pandharpur,2021,1
Solapur District,Pandharpur,2022,1
Solapur District,Pandharpur,2023,1
Solapur District,Pandharpur,2024,1
Solapur District,SolapurNorth,2010,2
Solapur District,SolapurNorth,2011,2
Solapur District,SolapurNorth,2012,2
Solapur District,SolapurNorth,2013,2
Solapur District,SolapurNorth,2014,2
Solapur District,SolapurNorth,2015,2
Solapur District,SolapurNorth,2016,1
Solapur District,SolapurNorth,2017,2
Solapur District,SolapurNorth,2018,2
Solapur District,SolapurNorth,2019,0
Solapur District,SolapurNorth,2020,1
Solapur District,SolapurNorth,2021,1
Solapur District,SolapurNorth,2022,2
Solapur District,SolapurNorth,2023,2
Solapur District,SolapurNorth,2024,2
Thane District,Ambernath,2010,2
Thane District,Ambernath,2011,2
Thane District,Ambernath,2012,2
Thane District,Ambernath,2013,2
Thane District,Ambernath,2014,1
Thane District,Ambernath,2015,2
Thane District,Ambernath,2016,2
Thane District,Ambernath,2017,2
Thane District,Ambernath,2018,2
Thane District,Ambernath,2019,1
Thane District,Ambernath,2020,1
Thane District,Ambernath,2021,1
